/n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data
/n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data
Running finetuning_qna_no_eval_human.py
Saving results to results/qna/t5-small_1_no_eval_human
Number of GPUs available: 1
GPU 0: NVIDIA H100 80GB HBM3
Model name: google/flan-t5-small
Output directory: results/qna/
Scratch directory: /n/netscratch/hlakkaraju_lab/Everyone/lilliansun/synthetic_data/qna/
Unique save name: t5-small_1_no_eval_human
Dataset proportion: 1.0
Q&A train filepath: synthetic/qna_train.csv
Q&A val filepath: synthetic/qna_val.csv
Q&A test filepath: synthetic/qna_test.csv
Batch size: 8
Evaluation steps: 40
Size of input_ids tensor: torch.Size([393]), dtype: torch.int64
Actual sequence length: 80
Size of input_ids tensor: torch.Size([245]), dtype: torch.int64
Actual sequence length: 124
Size of input_ids tensor: torch.Size([393]), dtype: torch.int64
Actual sequence length: 100
{'loss': 0.5797, 'grad_norm': 2.4045326709747314, 'learning_rate': 4.839615076182839e-05, 'epoch': 0.03}
{'loss': 0.5499, 'grad_norm': 1.8270199298858643, 'learning_rate': 4.679230152365678e-05, 'epoch': 0.06}
{'loss': 0.5658, 'grad_norm': 1.2500176429748535, 'learning_rate': 4.518845228548517e-05, 'epoch': 0.1}
{'loss': 0.5367, 'grad_norm': 0.6436957716941833, 'learning_rate': 4.358460304731356e-05, 'epoch': 0.13}
{'loss': 0.5329, 'grad_norm': 2.6858227252960205, 'learning_rate': 4.1980753809141946e-05, 'epoch': 0.16}
{'loss': 0.5532, 'grad_norm': 1.3064547777175903, 'learning_rate': 4.037690457097033e-05, 'epoch': 0.19}
{'loss': 0.5507, 'grad_norm': 0.8364524245262146, 'learning_rate': 3.8773055332798716e-05, 'epoch': 0.22}
{'loss': 0.5392, 'grad_norm': 0.8369793891906738, 'learning_rate': 3.7169206094627105e-05, 'epoch': 0.26}
{'loss': 0.5367, 'grad_norm': 0.7374976873397827, 'learning_rate': 3.5565356856455494e-05, 'epoch': 0.29}
{'loss': 0.5217, 'grad_norm': 2.7400062084198, 'learning_rate': 3.396150761828388e-05, 'epoch': 0.32}
{'loss': 0.531, 'grad_norm': 1.9874461889266968, 'learning_rate': 3.235765838011227e-05, 'epoch': 0.35}
{'loss': 0.528, 'grad_norm': 1.103147029876709, 'learning_rate': 3.075380914194066e-05, 'epoch': 0.38}
{'loss': 0.5195, 'grad_norm': 1.4735634326934814, 'learning_rate': 2.914995990376905e-05, 'epoch': 0.42}
{'loss': 0.5133, 'grad_norm': 2.3362743854522705, 'learning_rate': 2.7546110665597434e-05, 'epoch': 0.45}
{'loss': 0.4869, 'grad_norm': 2.074873447418213, 'learning_rate': 2.5942261427425823e-05, 'epoch': 0.48}
{'loss': 0.5159, 'grad_norm': 1.766577959060669, 'learning_rate': 2.433841218925421e-05, 'epoch': 0.51}
{'loss': 0.4836, 'grad_norm': 1.8630478382110596, 'learning_rate': 2.27345629510826e-05, 'epoch': 0.55}
{'loss': 0.4988, 'grad_norm': 1.7021833658218384, 'learning_rate': 2.113071371291099e-05, 'epoch': 0.58}
{'loss': 0.4801, 'grad_norm': 2.508354425430298, 'learning_rate': 1.9526864474739377e-05, 'epoch': 0.61}
{'loss': 0.4713, 'grad_norm': 2.0344367027282715, 'learning_rate': 1.7923015236567763e-05, 'epoch': 0.64}
{'loss': 0.4484, 'grad_norm': 2.1348958015441895, 'learning_rate': 1.631916599839615e-05, 'epoch': 0.67}
{'loss': 0.4724, 'grad_norm': 3.644646167755127, 'learning_rate': 1.471531676022454e-05, 'epoch': 0.71}
{'loss': 0.4979, 'grad_norm': 2.5120434761047363, 'learning_rate': 1.3111467522052929e-05, 'epoch': 0.74}
{'loss': 0.4725, 'grad_norm': 2.2106168270111084, 'learning_rate': 1.1507618283881316e-05, 'epoch': 0.77}
{'loss': 0.4677, 'grad_norm': 2.1551389694213867, 'learning_rate': 9.903769045709705e-06, 'epoch': 0.8}
{'loss': 0.4672, 'grad_norm': 2.95190691947937, 'learning_rate': 8.299919807538093e-06, 'epoch': 0.83}
{'loss': 0.4845, 'grad_norm': 2.1097817420959473, 'learning_rate': 6.69607056936648e-06, 'epoch': 0.87}
{'loss': 0.4642, 'grad_norm': 2.35162615776062, 'learning_rate': 5.092221331194868e-06, 'epoch': 0.9}
{'loss': 0.457, 'grad_norm': 2.8986804485321045, 'learning_rate': 3.488372093023256e-06, 'epoch': 0.93}
{'loss': 0.4561, 'grad_norm': 1.8334120512008667, 'learning_rate': 1.884522854851644e-06, 'epoch': 0.96}
{'loss': 0.4744, 'grad_norm': 2.6199538707733154, 'learning_rate': 2.8067361668003206e-07, 'epoch': 0.99}
{'train_runtime': 408.5541, 'train_samples_per_second': 97.701, 'train_steps_per_second': 3.052, 'train_loss': 0.5049782508645138, 'epoch': 1.0}
DONE
