/n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data
/n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data
Running finetuning_qna_no_eval_human.py
Saving results to results/qna/t5-base_1_no_eval_human_3
Number of GPUs available: 1
GPU 0: NVIDIA H100 80GB HBM3
Model name: google/flan-t5-base
Output directory: results/qna/
Scratch directory: /n/netscratch/hlakkaraju_lab/Everyone/lilliansun/synthetic_data/qna/
Unique save name: t5-base_1_no_eval_human_3
Dataset proportion: 1.0
Q&A train filepath: synthetic/qna_train.csv
Q&A val filepath: synthetic/qna_val.csv
Q&A test filepath: synthetic/qna_test.csv
Batch size: 8
Evaluation steps: 40
Size of input_ids tensor: torch.Size([393]), dtype: torch.int64
Actual sequence length: 80
Size of input_ids tensor: torch.Size([245]), dtype: torch.int64
Actual sequence length: 124
Size of input_ids tensor: torch.Size([393]), dtype: torch.int64
Actual sequence length: 100
{'loss': 0.5851, 'grad_norm': 1.285527229309082, 'learning_rate': 4.839615076182839e-05, 'epoch': 0.03}
{'loss': 0.5518, 'grad_norm': 0.8959901928901672, 'learning_rate': 4.679230152365678e-05, 'epoch': 0.06}
{'loss': 0.5655, 'grad_norm': 0.871853232383728, 'learning_rate': 4.518845228548517e-05, 'epoch': 0.1}
{'loss': 0.5083, 'grad_norm': 1.3856502771377563, 'learning_rate': 4.358460304731356e-05, 'epoch': 0.13}
{'loss': 0.4438, 'grad_norm': 4.912446022033691, 'learning_rate': 4.1980753809141946e-05, 'epoch': 0.16}
{'loss': 0.4133, 'grad_norm': 3.993675470352173, 'learning_rate': 4.037690457097033e-05, 'epoch': 0.19}
{'loss': 0.4254, 'grad_norm': 3.2127814292907715, 'learning_rate': 3.8773055332798716e-05, 'epoch': 0.22}
{'loss': 0.4251, 'grad_norm': 2.5160396099090576, 'learning_rate': 3.7169206094627105e-05, 'epoch': 0.26}
{'loss': 0.3938, 'grad_norm': 2.6243221759796143, 'learning_rate': 3.5565356856455494e-05, 'epoch': 0.29}
{'loss': 0.363, 'grad_norm': 4.150304317474365, 'learning_rate': 3.396150761828388e-05, 'epoch': 0.32}
{'loss': 0.3937, 'grad_norm': 1.6078197956085205, 'learning_rate': 3.235765838011227e-05, 'epoch': 0.35}
{'loss': 0.3878, 'grad_norm': 2.137692928314209, 'learning_rate': 3.075380914194066e-05, 'epoch': 0.38}
{'loss': 0.3693, 'grad_norm': 5.129604816436768, 'learning_rate': 2.914995990376905e-05, 'epoch': 0.42}
{'loss': 0.3943, 'grad_norm': 2.6583642959594727, 'learning_rate': 2.7546110665597434e-05, 'epoch': 0.45}
{'loss': 0.3344, 'grad_norm': 2.6313040256500244, 'learning_rate': 2.5942261427425823e-05, 'epoch': 0.48}
{'loss': 0.3926, 'grad_norm': 3.515235424041748, 'learning_rate': 2.433841218925421e-05, 'epoch': 0.51}
{'loss': 0.3813, 'grad_norm': 1.9803431034088135, 'learning_rate': 2.27345629510826e-05, 'epoch': 0.55}
{'loss': 0.3658, 'grad_norm': 2.6892542839050293, 'learning_rate': 2.113071371291099e-05, 'epoch': 0.58}
{'loss': 0.3647, 'grad_norm': 2.853524923324585, 'learning_rate': 1.9526864474739377e-05, 'epoch': 0.61}
{'loss': 0.3193, 'grad_norm': 3.1644928455352783, 'learning_rate': 1.7923015236567763e-05, 'epoch': 0.64}
{'loss': 0.3504, 'grad_norm': 2.211669683456421, 'learning_rate': 1.631916599839615e-05, 'epoch': 0.67}
{'loss': 0.3504, 'grad_norm': 3.3966662883758545, 'learning_rate': 1.471531676022454e-05, 'epoch': 0.71}
{'loss': 0.3706, 'grad_norm': 2.918565511703491, 'learning_rate': 1.3111467522052929e-05, 'epoch': 0.74}
{'loss': 0.3463, 'grad_norm': 4.040476322174072, 'learning_rate': 1.1507618283881316e-05, 'epoch': 0.77}
{'loss': 0.3582, 'grad_norm': 2.4801907539367676, 'learning_rate': 9.903769045709705e-06, 'epoch': 0.8}
{'loss': 0.3728, 'grad_norm': 2.5325825214385986, 'learning_rate': 8.299919807538093e-06, 'epoch': 0.83}
{'loss': 0.3702, 'grad_norm': 3.595782518386841, 'learning_rate': 6.69607056936648e-06, 'epoch': 0.87}
{'loss': 0.3483, 'grad_norm': 2.5649831295013428, 'learning_rate': 5.092221331194868e-06, 'epoch': 0.9}
{'loss': 0.3649, 'grad_norm': 2.9590699672698975, 'learning_rate': 3.488372093023256e-06, 'epoch': 0.93}
{'loss': 0.3284, 'grad_norm': 2.8398327827453613, 'learning_rate': 1.884522854851644e-06, 'epoch': 0.96}
{'loss': 0.3783, 'grad_norm': 2.787994384765625, 'learning_rate': 2.8067361668003206e-07, 'epoch': 0.99}
{'train_runtime': 1242.6326, 'train_samples_per_second': 32.122, 'train_steps_per_second': 1.004, 'train_loss': 0.3972247373417271, 'epoch': 1.0}
DONE
