/n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data
/n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data /n/holylabs/LABS/hlakkaraju_lab/Users/lilliansun/cs2281_synthetic_data
Running finetuning_qna_no_eval_human.py
Saving results to results/qna/t5-large_1_no_eval_human_3
Number of GPUs available: 1
GPU 0: NVIDIA H100 80GB HBM3
Model name: google/flan-t5-large
Output directory: results/qna/
Scratch directory: /n/netscratch/hlakkaraju_lab/Everyone/lilliansun/synthetic_data/qna/
Unique save name: t5-large_1_no_eval_human_3
Dataset proportion: 1.0
Q&A train filepath: synthetic/qna_train.csv
Q&A val filepath: synthetic/qna_val.csv
Q&A test filepath: synthetic/qna_test.csv
Batch size: 8
Evaluation steps: 40
Size of input_ids tensor: torch.Size([393]), dtype: torch.int64
Actual sequence length: 80
Size of input_ids tensor: torch.Size([245]), dtype: torch.int64
Actual sequence length: 124
Size of input_ids tensor: torch.Size([393]), dtype: torch.int64
Actual sequence length: 100
{'loss': 0.5488, 'grad_norm': 2.1160168647766113, 'learning_rate': 4.839615076182839e-05, 'epoch': 0.03}
{'loss': 0.3832, 'grad_norm': 2.747375965118408, 'learning_rate': 4.679230152365678e-05, 'epoch': 0.06}
{'loss': 0.3859, 'grad_norm': 8.638633728027344, 'learning_rate': 4.518845228548517e-05, 'epoch': 0.1}
{'loss': 0.3348, 'grad_norm': 2.458482503890991, 'learning_rate': 4.358460304731356e-05, 'epoch': 0.13}
{'loss': 0.3324, 'grad_norm': 6.51923131942749, 'learning_rate': 4.1980753809141946e-05, 'epoch': 0.16}
{'loss': 0.306, 'grad_norm': 3.424816608428955, 'learning_rate': 4.037690457097033e-05, 'epoch': 0.19}
{'loss': 0.3114, 'grad_norm': 3.2173752784729004, 'learning_rate': 3.8773055332798716e-05, 'epoch': 0.22}
{'loss': 0.2994, 'grad_norm': 1.9212138652801514, 'learning_rate': 3.7169206094627105e-05, 'epoch': 0.26}
{'loss': 0.3262, 'grad_norm': 1.858715534210205, 'learning_rate': 3.5565356856455494e-05, 'epoch': 0.29}
{'loss': 0.3124, 'grad_norm': 5.48096227645874, 'learning_rate': 3.396150761828388e-05, 'epoch': 0.32}
{'loss': 0.327, 'grad_norm': 1.7708762884140015, 'learning_rate': 3.235765838011227e-05, 'epoch': 0.35}
{'loss': 0.3003, 'grad_norm': 2.600196599960327, 'learning_rate': 3.075380914194066e-05, 'epoch': 0.38}
{'loss': 0.2812, 'grad_norm': 2.358729362487793, 'learning_rate': 2.914995990376905e-05, 'epoch': 0.42}
{'loss': 0.2946, 'grad_norm': 3.254807233810425, 'learning_rate': 2.7546110665597434e-05, 'epoch': 0.45}
{'loss': 0.2679, 'grad_norm': 2.0064311027526855, 'learning_rate': 2.5942261427425823e-05, 'epoch': 0.48}
{'loss': 0.3129, 'grad_norm': 2.4272005558013916, 'learning_rate': 2.433841218925421e-05, 'epoch': 0.51}
{'loss': 0.286, 'grad_norm': 2.831855058670044, 'learning_rate': 2.27345629510826e-05, 'epoch': 0.55}
{'loss': 0.2683, 'grad_norm': 2.170214891433716, 'learning_rate': 2.113071371291099e-05, 'epoch': 0.58}
{'loss': 0.2725, 'grad_norm': 1.9350922107696533, 'learning_rate': 1.9526864474739377e-05, 'epoch': 0.61}
{'loss': 0.2641, 'grad_norm': 2.2504076957702637, 'learning_rate': 1.7923015236567763e-05, 'epoch': 0.64}
{'loss': 0.2744, 'grad_norm': 2.146571636199951, 'learning_rate': 1.631916599839615e-05, 'epoch': 0.67}
{'loss': 0.288, 'grad_norm': 2.7238197326660156, 'learning_rate': 1.471531676022454e-05, 'epoch': 0.71}
{'loss': 0.2781, 'grad_norm': 2.8156299591064453, 'learning_rate': 1.3111467522052929e-05, 'epoch': 0.74}
{'loss': 0.2867, 'grad_norm': 2.1366376876831055, 'learning_rate': 1.1507618283881316e-05, 'epoch': 0.77}
{'loss': 0.2798, 'grad_norm': 1.5473536252975464, 'learning_rate': 9.903769045709705e-06, 'epoch': 0.8}
{'loss': 0.2644, 'grad_norm': 2.8069376945495605, 'learning_rate': 8.299919807538093e-06, 'epoch': 0.83}
{'loss': 0.3159, 'grad_norm': 3.7414932250976562, 'learning_rate': 6.69607056936648e-06, 'epoch': 0.87}
{'loss': 0.2748, 'grad_norm': 2.2455742359161377, 'learning_rate': 5.092221331194868e-06, 'epoch': 0.9}
{'loss': 0.2711, 'grad_norm': 2.228930950164795, 'learning_rate': 3.488372093023256e-06, 'epoch': 0.93}
{'loss': 0.2408, 'grad_norm': 3.253931760787964, 'learning_rate': 1.884522854851644e-06, 'epoch': 0.96}
{'loss': 0.2863, 'grad_norm': 2.532203197479248, 'learning_rate': 2.8067361668003206e-07, 'epoch': 0.99}
{'train_runtime': 3848.4726, 'train_samples_per_second': 10.372, 'train_steps_per_second': 0.324, 'train_loss': 0.3058695458562831, 'epoch': 1.0}
DONE
