~/cs2281_synthetic_data ~/cs2281_synthetic_data
~/cs2281_synthetic_data ~/cs2281_synthetic_data ~/cs2281_synthetic_data
Running finetuning_summarization_no_eval.py
Saving results to results/summarization/t5-large_1_no_eval_3
Number of GPUs available: 1
GPU 0: NVIDIA H100 80GB HBM3
Model name: google/flan-t5-large
Output directory: results/summarization/
Scratch directory: /n/netscratch/hlakkaraju_lab/Everyone/lilliansun/synthetic_data/
Unique save name: t5-large_1_no_eval_3
Dataset proportion: 1.0
Summarization train filepath: synthetic/summary_train.csv
Summarization val filepath: synthetic/summary_val.csv
Summarization test filepath: synthetic/summary_test.csv
Batch size: 8
Evaluation steps: 40
Size of input_ids tensor: torch.Size([3000]), dtype: torch.int64
Actual sequence length: 542
Size of input_ids tensor: torch.Size([2736]), dtype: torch.int64
Actual sequence length: 293
Size of input_ids tensor: torch.Size([3000]), dtype: torch.int64
Actual sequence length: 965
{'loss': 9.8693, 'grad_norm': 29.1412353515625, 'learning_rate': 4.769850402761795e-05, 'epoch': 0.05}
{'loss': 1.8554, 'grad_norm': 0.6978844404220581, 'learning_rate': 4.539700805523591e-05, 'epoch': 0.09}
{'loss': 0.8459, 'grad_norm': 0.39414748549461365, 'learning_rate': 4.3095512082853856e-05, 'epoch': 0.14}
{'loss': 0.7823, 'grad_norm': 0.3824249505996704, 'learning_rate': 4.079401611047181e-05, 'epoch': 0.18}
{'loss': 0.7644, 'grad_norm': 0.37829336524009705, 'learning_rate': 3.849252013808976e-05, 'epoch': 0.23}
{'loss': 0.7589, 'grad_norm': 0.37086769938468933, 'learning_rate': 3.619102416570771e-05, 'epoch': 0.28}
{'loss': 0.7475, 'grad_norm': 0.37066882848739624, 'learning_rate': 3.3889528193325666e-05, 'epoch': 0.32}
{'loss': 0.7452, 'grad_norm': 0.41654741764068604, 'learning_rate': 3.1588032220943615e-05, 'epoch': 0.37}
{'loss': 0.7254, 'grad_norm': 0.3659278154373169, 'learning_rate': 2.9286536248561568e-05, 'epoch': 0.41}
{'loss': 0.7302, 'grad_norm': 0.47352585196495056, 'learning_rate': 2.698504027617952e-05, 'epoch': 0.46}
{'loss': 0.7276, 'grad_norm': 0.40445080399513245, 'learning_rate': 2.468354430379747e-05, 'epoch': 0.51}
{'loss': 0.726, 'grad_norm': 0.3825918138027191, 'learning_rate': 2.238204833141542e-05, 'epoch': 0.55}
{'loss': 0.7222, 'grad_norm': 0.35700419545173645, 'learning_rate': 2.008055235903337e-05, 'epoch': 0.6}
{'loss': 0.7224, 'grad_norm': 0.3938610255718231, 'learning_rate': 1.7779056386651323e-05, 'epoch': 0.64}
{'loss': 0.7176, 'grad_norm': 0.4419712424278259, 'learning_rate': 1.5477560414269276e-05, 'epoch': 0.69}
{'loss': 0.7111, 'grad_norm': 0.37737005949020386, 'learning_rate': 1.3176064441887228e-05, 'epoch': 0.74}
{'loss': 0.7134, 'grad_norm': 0.3504428267478943, 'learning_rate': 1.0874568469505179e-05, 'epoch': 0.78}
{'loss': 0.7132, 'grad_norm': 0.3902823030948639, 'learning_rate': 8.57307249712313e-06, 'epoch': 0.83}
{'loss': 0.7146, 'grad_norm': 0.3884846568107605, 'learning_rate': 6.271576524741082e-06, 'epoch': 0.87}
{'loss': 0.712, 'grad_norm': 0.338717520236969, 'learning_rate': 3.970080552359034e-06, 'epoch': 0.92}
{'loss': 0.7171, 'grad_norm': 0.3868106007575989, 'learning_rate': 1.668584579976985e-06, 'epoch': 0.97}
{'train_runtime': 17571.1789, 'train_samples_per_second': 1.583, 'train_steps_per_second': 0.049, 'train_loss': 1.2077189951414893, 'epoch': 1.0}
DONE
