~/cs2281_synthetic_data ~/cs2281_synthetic_data
~/cs2281_synthetic_data ~/cs2281_synthetic_data ~/cs2281_synthetic_data
Running finetuning_summarization_no_eval_human.py
Saving results to results/summarization/t5-large_1_no_eval_human_3
Number of GPUs available: 1
GPU 0: NVIDIA H100 80GB HBM3
Model name: google/flan-t5-large
Output directory: results/summarization/
Scratch directory: /n/netscratch/hlakkaraju_lab/Everyone/lilliansun/synthetic_data/
Unique save name: t5-large_1_no_eval_human_3
Dataset proportion: 1.0
Summarization train filepath: synthetic/summary_train.csv
Summarization val filepath: synthetic/summary_val.csv
Summarization test filepath: synthetic/summary_test.csv
Batch size: 8
Evaluation steps: 40
Size of input_ids tensor: torch.Size([3000]), dtype: torch.int64
Actual sequence length: 542
Size of input_ids tensor: torch.Size([2736]), dtype: torch.int64
Actual sequence length: 293
Size of input_ids tensor: torch.Size([3000]), dtype: torch.int64
Actual sequence length: 965
{'loss': 15.8225, 'grad_norm': 27.416723251342773, 'learning_rate': 4.769850402761795e-05, 'epoch': 0.05}
{'loss': 1.991, 'grad_norm': 1.0579447746276855, 'learning_rate': 4.539700805523591e-05, 'epoch': 0.09}
{'loss': 0.4467, 'grad_norm': 0.28426945209503174, 'learning_rate': 4.3095512082853856e-05, 'epoch': 0.14}
{'loss': 0.4134, 'grad_norm': 0.2670595049858093, 'learning_rate': 4.079401611047181e-05, 'epoch': 0.18}
{'loss': 0.4155, 'grad_norm': 0.24115540087223053, 'learning_rate': 3.849252013808976e-05, 'epoch': 0.23}
{'loss': 0.4142, 'grad_norm': 0.23015931248664856, 'learning_rate': 3.619102416570771e-05, 'epoch': 0.28}
{'loss': 0.4094, 'grad_norm': 0.3083837330341339, 'learning_rate': 3.3889528193325666e-05, 'epoch': 0.32}
{'loss': 0.4129, 'grad_norm': 0.29828518629074097, 'learning_rate': 3.1588032220943615e-05, 'epoch': 0.37}
{'loss': 0.4054, 'grad_norm': 0.2676668167114258, 'learning_rate': 2.9286536248561568e-05, 'epoch': 0.41}
{'loss': 0.4065, 'grad_norm': 0.20442262291908264, 'learning_rate': 2.698504027617952e-05, 'epoch': 0.46}
{'loss': 0.4022, 'grad_norm': 0.25847548246383667, 'learning_rate': 2.468354430379747e-05, 'epoch': 0.51}
{'loss': 0.3999, 'grad_norm': 0.1972210556268692, 'learning_rate': 2.238204833141542e-05, 'epoch': 0.55}
{'loss': 0.4149, 'grad_norm': 0.19196096062660217, 'learning_rate': 2.008055235903337e-05, 'epoch': 0.6}
{'loss': 0.3989, 'grad_norm': 0.22345571219921112, 'learning_rate': 1.7779056386651323e-05, 'epoch': 0.64}
{'loss': 0.4063, 'grad_norm': 0.20953872799873352, 'learning_rate': 1.5477560414269276e-05, 'epoch': 0.69}
{'loss': 0.3983, 'grad_norm': 0.2235824018716812, 'learning_rate': 1.3176064441887228e-05, 'epoch': 0.74}
{'loss': 0.4082, 'grad_norm': 0.22505596280097961, 'learning_rate': 1.0874568469505179e-05, 'epoch': 0.78}
{'loss': 0.4056, 'grad_norm': 0.23703818023204803, 'learning_rate': 8.57307249712313e-06, 'epoch': 0.83}
{'loss': 0.4023, 'grad_norm': 0.20948350429534912, 'learning_rate': 6.271576524741082e-06, 'epoch': 0.87}
{'loss': 0.4116, 'grad_norm': 0.22985972464084625, 'learning_rate': 3.970080552359034e-06, 'epoch': 0.92}
{'loss': 0.4051, 'grad_norm': 0.19291570782661438, 'learning_rate': 1.668584579976985e-06, 'epoch': 0.97}
{'train_runtime': 17957.3281, 'train_samples_per_second': 1.549, 'train_steps_per_second': 0.048, 'train_loss': 1.1915160915519618, 'epoch': 1.0}
DONE
